V8,V9,demAgeFull,demGender,demEduFull,demHisp,demRace,demPidNoLn,demPidLean,demPidClos,demCitizen,demRVoter,demRVoter2,demState,demZIP,nr1,nr1a,nr2,nr3,v16g5,v16g5a,demLL1,demCell,demCellP,demOwnHeal,demInsured,demInsType,demFluShot,demBinge,demSmoke,timQ45_4,demUnion,demUnionPP,demMarital,demInc,demInc2,invest,timQ51_1,timQ51_2,timQ51_3,timQ51_4,demOwn,demMove,demHHsize,timQ55_1,timQ55_2,timQ55_3,timQ55_4,demRelig,demEvang,demAttend,demReligImp,timQ62_1,timQ62_2,timQ62_3,timQ62_4,timQ64_1,timQ64_2,timQ64_3,timQ64_4,demMilHH1,demMilHH2,demUsr,demEmploy,Q156,demSmallb,industry,demCollar,timQ438_1,timQ438_2,timQ438_3,timQ438_4,demPolIdeo,Q450,demTea,Q689,Q95,timQ694_1,BF2,BF2_TEXT,BF3_4,BF3_5,BF3_6,BF3_7,BF3_7_TEXT,BF4,BF4_TEXT,wts,BF1_4NET,BF1_5NET,BF1_6NET,BF1_7NET,BF1_8NET,BF1_9NET,BF1_10NET,BF1_11NET,BF1_12NET,BF1_13NET,BF1_14NET,BF1_15NET,BF1_15_TEXTNET,BF3_4NET,BF3_5NET,BF3_6NET,BF3_7NET,BF3_7_TEXTNET,wts.1,v16g18,v16g18_ln
9/22/16 17:48,9/22/16 18:08,28,2,7,1,5,3,NA,2,1,1,1,22,NA,2,2,3,1,2,2,1,1,1,2,1,4,2,6,1,7,2,NA,4,4,NA,2,1.95,12.223,13.275,4,1,3,13,2.494,9.182,15.606,3,4,2,2,2,2.774,10.246,11.23,3,NA,NA,NA,NA,2,NA,2,1,2,1,8,1,1.842,1.842,2.629,1,6,1,2,NA,NA,3.058,NA,,NA,NA,NA,NA,,NA,,0.431937222,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.431937222,2,NA
9/22/16 17:50,9/22/16 18:08,48,1,7,2,4,2,2,NA,1,1,1,5,3671,1,1,2,3,1,1,1,1,3,3,1,5,2,2,1,6,2,NA,1,2,NA,1,1.964,10.756,11.829,4,2,4,4,1.893,6.43,9.109,3,9,2,6,4,2.942,9.022,10.018,3,NA,NA,NA,NA,2,NA,1,6,NA,NA,NA,1,1.928,1.928,3.066,1,1,1,2,NA,NA,1.924,NA,,NA,NA,NA,NA,,NA,,1.411178621,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1.411178621,1,NA
9/22/16 17:26,9/22/16 18:11,43,1,7,2,4,1,1,NA,1,1,1,43,1774,2,1,4,4,2,1,1,1,3,5,1,5,1,2,2,8,2,NA,2,1,NA,3,5.168,29.585,31.128,4,1,7,9,7.295,19.424,25.798,3,1,1,2,1,11.118,34.987,39.236,4,NA,NA,NA,NA,2,NA,3,6,NA,NA,NA,2,14.439,14.439,16.253,1,6,4,2,NA,NA,12.385,NA,,NA,NA,NA,NA,,NA,,1.056485104,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1.056485104,2,NA
9/22/16 17:23,9/22/16 18:12,19,1,7,1,4,3,NA,1,1,1,1,10,1453,1,2,2,6,1,1,2,1,1,2,1,1,1,2,2,7,2,NA,2,3,NA,3,1.69,6.666,7.546,4,1,4,9,1.318,4.157,5.122,3,10,2,5,4,4.144,10.633,11.198,3,NA,NA,NA,NA,2,NA,2,2,1,1,NA,1,1.583,1.583,2.317,1,1,2,2,NA,NA,2.519,NA,,NA,NA,NA,NA,,NA,,0.801327562,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.801327562,1,NA
9/22/16 17:54,9/22/16 18:12,24,2,3,2,4,2,2,NA,1,1,1,16,3995,1,1,2,1,1,1,1,1,2,3,1,2,1,82,1,9,1,2,1,3,NA,2,1.705,7.906,8.668,6,1,3,4,1.961,5.228,7.899,3,7,2,2,2,2.589,5.161,5.939,3,NA,NA,NA,NA,1,2,2,3,1,2,6,1,1.278,1.278,3.039,1,4,2,1,NA,NA,1.68,NA,,NA,NA,NA,NA,,NA,,1.459602069,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1.459602069,2,NA
9/22/16 17:53,9/22/16 18:14,12,1,6,2,4,1,1,NA,1,1,1,48,4115,2,1,4,2,2,1,2,1,1,1,1,7,2,86,1,6,2,NA,2,4,NA,2,2.125,9.3,12.114,4,1,1,6,3.353,8.209,9.837,4,1,1,2,1,2.072,12.225,13.084,4,NA,NA,NA,NA,1,1,2,5,NA,NA,NA,2,5.098,5.098,5.998,1,6,2,1,NA,NA,6.677,NA,,NA,NA,NA,NA,,NA,,0.92280219,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.92280219,2,NA
9/22/16 18:06,9/22/16 18:16,11,1,7,1,4,1,1,NA,1,1,1,31,NA,1,2,1,4,2,1,1,1,3,2,1,4,2,2,1,7,1,1,1,2,NA,1,1.725,9.075,9.408,7,2,1,NA,1.275,2.046,3.531,2,2,2,1,1,1.559,6.706,7.244,4,NA,NA,NA,NA,1,2,3,1,1,1,2,1,1.435,1.435,1.928,1,6,2,1,NA,NA,1.081,NA,,NA,NA,NA,NA,,NA,,0.92258392,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.92258392,2,NA
9/22/16 17:52,9/22/16 18:17,53,1,8,2,4,3,NA,2,1,1,1,34,987,2,1,4,1,2,1,1,1,2,1,1,5,1,2,1,6,2,NA,2,6,2,1,2.187,18.047,19.517,5,1,6,NA,3.114,7.855,8.816,2,2,2,6,4,2.574,15.892,16.794,4,NA,NA,NA,NA,2,NA,2,2,2,1,NA,1,2.494,2.494,3.284,1,5,1,2,NA,NA,5.808,NA,,NA,NA,NA,NA,,NA,,0.733268196,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.733268196,3,2
9/22/16 17:52,9/22/16 18:18,67,2,2,2,4,1,1,NA,1,1,1,11,1208,2,2,4,2,2,1,2,1,1,3,1,5,2,2,1,6,2,NA,5,1,NA,4,2.76,18.654,20.352,4,2,3,4,2.644,8.306,13.317,3,1,1,1,1,2.241,17.408,19.402,4,NA,NA,NA,NA,2,NA,2,6,NA,NA,NA,3,7.66,7.66,8.594,1,5,1,2,NA,NA,4.698,NA,,NA,NA,NA,NA,,NA,,1.433599609,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1.433599609,2,NA
9/22/16 18:04,9/22/16 18:21,60,2,5,2,4,2,1,NA,1,1,1,3,3544,1,2,2,1,2,2,2,1,1,3,1,1,1,52,2,1,2,NA,4,2,NA,2,4.196,16.277,19.305,4,1,1,4,2.145,2.145,8.675,1,2,2,3,1,2.665,14.819,16.082,4,NA,NA,NA,NA,2,NA,2,3,2,2,8,1,1.68,1.68,2.777,1,2,3,2,NA,NA,1.475,NA,,NA,NA,NA,NA,,NA,,0.848930456,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.848930456,1,NA
